block_number,block_timestamp,txid,out_btc,fee_btc,n_input_addresses,n_traced_in_label_range,n_patoshi_minted,patoshi_fraction,n_traced_above_label_range,n_untraced_already_circulating
6456,2009-03-05 23:50:07.000000 UTC,cdbeb55fd9895a5409f6bc19608fa51cc7b2aca9d068e5908da27003c60f6970,400,0,8,8,2,0.2500,0,0
6764,2009-03-08 17:14:52.000000 UTC,accd1171781ff942b496cc67184bdfbdac6cbb4b0ebc4559f07830a89c2d7e5e,50,0,1,1,0,0.0000,0,0
6764,2009-03-08 17:14:52.000000 UTC,d7374c9a35997bd4fffb7cc089e6e2b22c5ee9f6019dc0fc881cc8b02e45b10b,300,0,6,6,1,0.1667,0,0
6766,2009-03-08 17:46:42.000000 UTC,21fdd809c34dd0162c28834f8357ec1f698b1df49744731c22f43aaec85ab64a,1200,0,19,17,3,0.1765,0,2
7178,2009-03-12 10:48:54.000000 UTC,6a697d4ea52e2cb3f9c176fd2f3014f550bc0e8b4ed8e47588819535b99a39df,150,0,3,3,1,0.3333,0,0
7309,2009-03-13 14:26:15.000000 UTC,ef135013bf0ad1768fef565249849e6c125c23a88f9705b376b55e4d9b8c4554,750,0,13,12,1,0.0833,0,1
7677,2009-03-16 16:40:15.000000 UTC,e6f00fa63eb6b8e812ac3c591871203cae971d480c1469fc5ce88932cd3ec26c,2400,0,48,48,11,0.2292,0,0
7939,2009-03-18 23:38:16.000000 UTC,6db50f2ea6aea1fd8a94c6ba345f51582585dd15150f65c999722f437c791422,550,0,11,11,3,0.2727,0,0
7939,2009-03-18 23:38:16.000000 UTC,823530fc97725a01ba9a7de47ce683b5800e94dc63be84fb35e3bd383de98436,150,0,3,3,0,0.0000,0,0
8143,2009-03-20 16:52:33.000000 UTC,b9f64cc44346ac649c21e40e5942a1d196062a285733907f9a1faad453d5556f,600,0,12,12,2,0.1667,0,0
8315,2009-03-22 16:31:22.000000 UTC,68efb6a6217892baf3a7cf03cbfd3b31038f1f79db649a12b7516c8e7da81064,300,0,6,6,3,0.5000,0,0
8315,2009-03-22 16:31:22.000000 UTC,9f705d7fae30b1fe3d5855447d4e01d7b13c1edcfa2483d739fbebbcdd0475a1,250,0,5,5,0,0.0000,0,0
8775,2009-03-26 15:21:42.000000 UTC,02158bebe1f72393a771fd39f950308ed93693d0b976f92c777677874764859a,1400,0,28,28,7,0.2500,0,0
9006,2009-03-28 16:06:49.000000 UTC,2c652b0f8b810d4b94082035e910b552a1dbb73bfa8a3c28406fa3d7a0528da7,50,0,1,1,0,0.0000,0,0
9006,2009-03-28 16:06:49.000000 UTC,54204ff07aecf7fc09e567c2333544dbb7054b31547b227e1bf74fbcdbca28da,800,0,16,16,7,0.4375,0,0
9006,2009-03-28 16:06:49.000000 UTC,d65723c12834c33063efcfbc7deb0c4791558d432fbe9c1c51f8b718060be583,150,0,3,3,0,0.0000,0,0
9354,2009-03-31 15:46:29.000000 UTC,85b6f48c8e10d8e1df4c5e3b64f6209d6bd8a3ad0af7e369c0d50a9f11c58d8d,1600,0,32,32,7,0.2188,0,0
9962,2009-04-05 20:43:36.000000 UTC,146fbdc9a5bf4800b83d1e0b7022d6e554f93143f10f09600b4e55f879d472bd,100,0,2,2,1,0.5000,0,0
9962,2009-04-05 20:43:36.000000 UTC,7eca6143f94eb7beac2a23506bc3ff0adaa0c9c9aeec71d7022e9b31f661c984,750,0,15,15,3,0.2000,0,0
10570,2009-04-11 14:04:22.000000 UTC,1159caa72f2eb97637dbd3c4e600eb3d408a5db0a64b2a80cd31b29c49f1ccbf,350,0,7,7,0,0.0000,0,0
10712,2009-04-12 19:46:57.000000 UTC,00eff263871e6d44abed66d90abb10d5a211441668511dba3146e380360efe4b,300,0,6,6,0,0.0000,0,0
10725,2009-04-12 22:02:57.000000 UTC,7153d47e65e432f132110695152add3fd22c9d42940ec524102562b9caa14201,650,0,2,0,0,,0,2
10792,2009-04-13 11:24:15.000000 UTC,ad511d71762f4123df227e2e048672c4df8cc2ac056ee37f52ff33085b2a2c47,50,0,1,1,1,1.0000,0,0
11395,2009-04-18 13:08:22.000000 UTC,ed7eec75f884fbc0539178fb16b4101f6619ee875efca7cda4a2058268f88514,50,0,1,1,0,0.0000,0,0
11408,2009-04-18 15:55:19.000000 UTC,6a679898780f5d99f0ffa12573b855e0dc470956406eb8b82690b688fa19200f,32.51,0,1,0,0,,0,1
11408,2009-04-18 15:55:19.000000 UTC,ea84d39ef6f7b3b23fbf899e11a9bb18478a19413579a69f3005359da7a62c49,50,0,1,1,1,1.0000,0,0
11426,2009-04-18 19:34:27.000000 UTC,2c230fa752edc2291e7b1d77deaaaaff907ef07f1d8f4fc879c77096e763b17f,50,0,1,1,0,0.0000,0,0
11516,2009-04-19 14:06:06.000000 UTC,57121ac508ec5a322a7565e778322247f858f2126397357d96bbafb921d50064,400,0,8,8,3,0.3750,0,0
11592,2009-04-20 04:38:21.000000 UTC,3ccc30911174b65042d33b95c0a2ce4954f78e5ca8fbf3f4ba17cbbc3ecab9de,2250,0,45,45,13,0.2889,0,0
11666,2009-04-20 20:19:32.000000 UTC,eebd343e3cbb08c6932adc87eba4b2bf372e9e984023474cb4fdb9b9ffad39b1,3500,0,70,70,18,0.2571,0,0
11769,2009-04-21 16:29:09.000000 UTC,71223e409c08a302ca8c0ecbc507650d51c4df68cd11bebb127dfe8fd6c66350,50,0,1,1,0,0.0000,0,0
12304,2009-04-26 13:18:39.000000 UTC,1e96292bc0b80d67876101b11f5aa50bb1071bd7b0302019950169ac2aaa052b,100,0,2,2,0,0.0000,0,0
12304,2009-04-26 13:18:39.000000 UTC,8552243568c50230e8bf6227797f993d91afadf6431a0d7f7eced17c9acc6919,650,0,13,13,3,0.2308,0,0
12678,2009-04-29 19:52:00.000000 UTC,f54f8b5282d2d349e34d6aa8a761c811ea9e1df7515a1291248cd44d06a45ace,1000,0,20,20,3,0.1500,0,0
12983,2009-05-02 05:02:21.000000 UTC,164ee500a3a460cffddeef7f9029e7e764362af80c8358d95c1eb2f105836234,49.97,0.03,1,1,1,1.0000,0,0
13051,2009-05-02 19:01:49.000000 UTC,846fa8792c3ae9d7149c2b43b99343ab259ef2e96adf7f7bd2f8145f88091aeb,699.94,0,14,14,6,0.4286,0,0
13171,2009-05-03 21:08:46.000000 UTC,9e7bc9715975579b36d0a81383dc76fcb41c9db45c77557083da5f4f76556b16,50,0,1,1,0,0.0000,0,0
13174,2009-05-03 21:41:41.000000 UTC,4c0135d31a903852d488d908637478dedbea80167e532d23cfc188d2e5b5e3db,35,0,1,1,0,0.0000,0,0
13174,2009-05-03 21:41:41.000000 UTC,e29a9dc0b293f0d84775adf316750255f267bc94a852e27a31db1f01c7a10e8d,25,0,2,0,0,,0,2
13306,2009-05-04 23:04:44.000000 UTC,5f143015d428cc6052649779f85ca66cefd45dd8115a436b54ab794bb6d8171c,1500,0,30,30,5,0.1667,0,0
13443,2009-05-05 22:52:26.000000 UTC,8cba5371ef42cd1538460cefd4d20a76029c3b7e7d1920548968151fbf826c6f,500,0,10,10,1,0.1000,0,0
14047,2009-05-11 14:58:31.000000 UTC,72776c25f0b994d2c05c26f48f503bb730dafa57f3d8b7cda2254c70025229aa,99.9,0.1,2,2,0,0.0000,0,0
14295,2009-05-13 13:55:35.000000 UTC,e4e6d0b98991457d45953907369e976988da553dc09b48e75f9955db7efee5b1,50,0,1,1,0,0.0000,0,0
14299,2009-05-13 16:03:07.000000 UTC,29a1acda5ccbfb22033f515985a83c3af28ad93cb2854fc425ec642a9f3e9738,50,0,1,1,0,0.0000,0,0
14324,2009-05-13 21:24:01.000000 UTC,0106b20766171631810521da688e39e8191ede576e8431791b32d7cec252d309,0.01,0,1,0,0,,0,1
14324,2009-05-13 21:24:01.000000 UTC,b1b0a6d77007bbaee07fb5a86eb63aadfa2772c409ba879085d2aa43019d4e5d,49,0,1,1,0,0.0000,0,0
14325,2009-05-13 21:38:22.000000 UTC,d4fbb7ff4fb068186583b3e4f69c606f9bd46282060d9c8fb9493117cf926af8,1,0,1,0,0,,0,1
14389,2009-05-14 09:56:30.000000 UTC,337be268b97a3db981432b3771a3e1fc3575f6c98ec787b444fe4f73acbc3068,100,0,2,2,0,0.0000,0,0
14461,2009-05-14 21:59:33.000000 UTC,4d54c5bef60bc4ff8c865405d313c45449e4dd9450e3925b04677bc096148aa1,50,0,1,1,0,0.0000,0,0
14461,2009-05-14 21:59:33.000000 UTC,b4a48e2416e6e2c3bbb42a4025ad3ac9d8c2bd1f02494a3c76fd7dee9fba6f7d,49.99,0,1,1,0,0.0000,0,0
14604,2009-05-15 22:47:48.000000 UTC,c5228406aca1f6b12e8617e069f7e1e466be71babc2876d23f1de9c959c3ea93,500,0,10,10,1,0.1000,0,0
15968,2009-05-29 15:06:07.000000 UTC,06032a172f88ba823785f87341eab26ee7a2eb2de9d2f105220d6580e3affc16,3000,0,60,60,13,0.2167,0,0
16226,2009-06-01 03:01:54.000000 UTC,5f5f50aa278cd47cd610f772be7b22ac89715e1b54b05244df8a489bf67f6d4c,50,0,1,1,0,0.0000,0,0
17807,2009-06-22 18:14:42.000000 UTC,3b24c9a9540f0b0236b58ffe716a905bfb0f45aa9efe96ee4656301ea1153412,3000,0,60,60,13,0.2167,0,0
17942,2009-06-24 12:02:04.000000 UTC,af727813c113da9a62f900996651ffa24556e83c7b5dccf35fdc9cebb830782c,99.99,0,2,2,0,0.0000,0,0
17959,2009-06-24 16:26:26.000000 UTC,2952603e1767869816bb839b840b1b1d15812b5c84ff8b453b969f0b203045a7,48.99,0,1,1,0,0.0000,0,0
18059,2009-06-25 23:03:20.000000 UTC,1e17fceec98e0d489548399860c7a7f5ad7b5fed4a76a1d73485c3b6703238f5,1000,0,20,20,4,0.2000,0,0
18253,2009-06-28 06:12:01.000000 UTC,6e0557700c3a11c3be9308013bfffd5ddc9680ca8fb62c1e94e3e0282857079c,50,0,1,1,0,0.0000,0,0
18353,2009-06-29 21:21:56.000000 UTC,e2a2f15960e9a2346992f6032def94d7d42718bb5a9392aea04241d3c9f7c766,50,0,1,1,1,1.0000,0,0
18369,2009-06-30 01:03:37.000000 UTC,fbf9a1acc8e464051b336ea4359016a77a7a9c1388c2e90aa222d4ee290cb97e,95,0,3,2,1,0.5000,0,1
18502,2009-07-01 13:33:13.000000 UTC,4dad7dd01dd65eaf24c75aa833af02002e3cb5494d8b524f6ad809976ec2132e,100,0,2,2,1,0.5000,0,0
18604,2009-07-02 23:02:29.000000 UTC,7221331ae19b913b7af2c52baa96fbd8f95426b2106b85781c9298f8dd4a20af,50,0,1,1,0,0.0000,0,0
19863,2009-07-20 22:54:07.000000 UTC,123a3968cd91b42cc1ecfb3d0d11e5b09d21e923344847a1e4b2577d3bbc69a2,6049.53,0.14,121,121,26,0.2149,0,0
20343,2009-07-29 21:20:39.000000 UTC,9b9176f85a4b21b6e0d1be4a41122b659d7724abe7da8a8d7983899fc845ab21,100,0,2,2,0,0.0000,0,0
20354,2009-07-30 17:57:36.000000 UTC,8449a1e57f2b34c755ab233e68e9ae45c689dd6d457f70dcb69a2508f90f6522,50,0,1,1,0,0.0000,0,0
20770,2009-08-07 22:27:45.000000 UTC,cdfd2e9b4ba6d086f4281699bb34f4398697c2fab699a2be0a591ede351b3947,5549.4,0.13,111,111,21,0.1892,0,0
21563,2009-08-26 18:23:18.000000 UTC,18bd07424d7ef0e2902e04f7ffac4ac9676dfbb41118af4323e352e1398c05d7,498.53,0,11,11,2,0.1818,0,0
21563,2009-08-26 18:23:18.000000 UTC,3e6994691cce8ce35f3b1331896b05b600ea512c9a7bb63a8e14612d5ec897ad,1800.13,0,36,36,9,0.2500,0,0
21563,2009-08-26 18:23:18.000000 UTC,6106c76b1c0cdb6123ddf93b2782b1cd17a9bff3434688661cebc6c159d0a24d,49.4,0,1,1,0,0.0000,0,0
21777,2009-08-30 05:37:37.000000 UTC,b5b52b8989eec1f1adf045676aec9f47be4f17782de442f95b5679a4ad54c79f,50,0,1,1,0,0.0000,0,0
21897,2009-08-31 11:06:52.000000 UTC,c235d6d86a7cc4a932045295b3d2558a0582a8b8eb078978cc8e23cdca056970,300,0,6,6,2,0.3333,0,0
22107,2009-09-03 08:54:10.000000 UTC,374acc94a6ceeac1722a1a10f69c561698c0a4f8389d657425d50a17b9880691,700,0,14,14,2,0.1429,0,0
22407,2009-09-07 15:45:23.000000 UTC,896e7774cc4f7aa65fa3736c6d0d91a1bccdb4c2a3fb78007830c68439da10dc,650,0,13,13,1,0.0769,0,0
22993,2009-09-16 15:17:29.000000 UTC,eb0e2029310edade8e2a034aea4f0c4a1e243fe2dce67d05f95fddb7ac11bfbe,1,0,1,0,0,,0,1
23079,2009-09-17 16:10:30.000000 UTC,9fc9f9ac9c516925f0cac51323e626af63fcfee74e0bce9a4be612de9cc1e201,5049.88,0.12,101,101,15,0.1485,0,0
23393,2009-09-21 19:13:19.000000 UTC,831525b6cc45326dd170a26d7f8553dc70780736e30f525840dfa1175337f59d,400,0,8,8,1,0.1250,0,0
23427,2009-09-22 20:51:24.000000 UTC,717a9f02d6bafa69f0119b7f87dab7cb697d6f30979cc72ba8d99827e8ce7d6f,2000,0,40,40,10,0.2500,0,0
23625,2009-09-25 15:56:38.000000 UTC,315f41f6ca3bf76938bc7a1f28ae1c77ecc8a64d0a0d37476ed7f9e706947765,1000,0,20,20,2,0.1000,0,0
23633,2009-09-25 18:03:43.000000 UTC,a2ccf09e7031426666ad295a3e7b7477393ddacbb66134157c8f1860de6d4ef7,300,0,6,6,0,0.0000,0,0
23757,2009-09-27 01:07:28.000000 UTC,11e5b0bbf5a4f567525721f45d89bd30a2888c829b333a4a50710148777200d3,800,0,16,16,3,0.1875,0,0
23937,2009-09-29 04:30:05.000000 UTC,311518ff986d423a6ea1d1f33fb5bcbbf52a45da078b4d359588bea7e0e8dc9c,650,0,13,13,1,0.0769,0,0
23980,2009-09-29 15:48:05.000000 UTC,d705df2ba5f32dff9ff275eb57865690656656cf67ef5b85a236df2cea353840,1500,0,30,30,3,0.1000,0,0
24215,2009-10-02 10:03:37.000000 UTC,8a1c5f21902e300850904dee0772fa7222216697c448edfc13a388a6a73472de,500,0,10,10,0,0.0000,0,0
24434,2009-10-06 08:40:58.000000 UTC,c650a26f418e25ad7b12da3545483c8a6291e53667de6733e6ecb38f2d3e902b,200,0,4,3,1,0.3333,1,0
24434,2009-10-06 08:40:58.000000 UTC,c842f40c439d1b274378a8c19115620404578b4d318237b8506493dcde56db7d,700,0,11,6,1,0.1667,4,1
24835,2009-10-12 04:21:18.000000 UTC,7dff938918f07619abd38e4510890396b1cef4fbeca154fb7aafba8843295ea2,5050,0,73,69,11,0.1594,3,1
25095,2009-10-16 05:31:17.000000 UTC,4aa98b18bb6766463b4a84c3da86decc066e7744670fe7009a78017a0027a344,9700,0,80,3,2,0.6667,76,1
25206,2009-10-18 05:06:10.000000 UTC,668dbd88e9171be4b4c3ef54d16d48e8dba07bb70a821552d5606e7183aa3877,350,0,7,0,0,,7,0
