block_number,block_timestamp,txid,input_count,output_count,in_btc,out_btc,fee_btc,outputs_btc,out_addresses,in_addresses
2812,2009-02-03 04:47:39.000000 UTC,131f68261e28a80c3300b048c4c51f3ca4745653ba7ad6b20cc9188322818f25,1,2,50,50,0,0.01000000 | 49.99000000,1Fmjwt8172FZT5XdKnzTUcEEzc1T2MCg2a | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2812,2009-02-03 04:47:39.000000 UTC,74c1a6dd6e88f73035143f8fc7420b5c395d28300a70bb35b943f7f2eddc656d,1,1,50,50,0,50.00000000,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2812,2009-02-03 04:47:39.000000 UTC,8f5db6d157f79f2649719d5c3ff12eb5502edf098dbfb69d6ce58363e6ff293f,1,2,49.98,49.98,0,0.01000000 | 49.97000000,1Hr2Pj6p984sZ8eC9333vZTkfZhASTEMPN | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2812,2009-02-03 04:47:39.000000 UTC,a64be218809b61ac67ddc7f6c7f9fbebfe420cf75fe0318ebc727f060df48b37,1,2,49.99,49.99,0,0.01000000 | 49.98000000,1CbAopr7sNMKjsJa8dAS6P5sM788kmMooo | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2813,2009-02-03 04:53:54.000000 UTC,0ba27c495fd6d3a678c0e8cecee6e08ad81c6e34bf11ec87d6dceb8ab6b0fe2f,1,2,49.95,49.95,0,0.01000000 | 49.94000000,1DvEeksZiy8cxfWhC9j1mHYSo9eeXk1KUZ | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2813,2009-02-03 04:53:54.000000 UTC,2a6ede103277e9aa503d4a61058fd497fa06a362802086c64361ca10b4e3a803,1,2,49.97,49.97,0,0.01000000 | 49.96000000,12BiYB811ywaQMYxP6uW8HzbJ8UjYhFLHC | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2813,2009-02-03 04:53:54.000000 UTC,2bbeef72df21dade6fefe225c729feb0747e9759952c0e4b17f2c596e2296ff1,1,2,49.96,49.96,0,0.01000000 | 49.95000000,1NwUjqNdrfkz5nrZZ1FYEHtidex1Xart95 | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2813,2009-02-03 04:53:54.000000 UTC,8debdb1723672a7bc8be053b03fa52360ba730d1c4d71270da806203a1f36c38,1,2,49.94,49.94,0,15.00000000 | 34.94000000,1ACHpxEQg9hWgqFiBGu6r6g7Bgbtgrsr4p | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2813,2009-02-03 04:53:54.000000 UTC,a87e31b0e252fecc4a487e054fbcbd2545ea8a110747ef875a59b2e3780101db,1,2,34.94,34.94,0,0.01000000 | 34.93000000,1ACHpxEQg9hWgqFiBGu6r6g7Bgbtgrsr4p | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2817,2009-02-03 05:16:42.000000 UTC,5b62efcc5b069ab78504483869b71a9cddff63eb123bafeadd4da13c1c2902c2,2,2,32.93,32.92,0.01,0.01000000 | 32.91000000,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
